record_id,corpus_index,representation_class,generator_shape,n,transformation,transformation_class,contract,contract_class,subset_size_m,n_subsets_at_m,zero_count_at_m,minimal_k,irreducible
case_0560,629,R1,nested,5,T6_meta_preserving,elementwise,P9_balance,cancelling,3,10,10,1,False
case_0561,629,R1,nested,5,T6_meta_preserving,elementwise,P9_balance,cancelling,4,5,5,1,False
case_0562,631,R3,nested,5,T7_meta_destroying,elementwise,P7_contradiction,noncancelling,2,10,0,1,False
case_0563,631,R3,nested,5,T7_meta_destroying,elementwise,P7_contradiction,noncancelling,3,10,0,1,False
case_0564,631,R3,nested,5,T7_meta_destroying,elementwise,P7_contradiction,noncancelling,4,5,0,1,False
case_0565,635,R2,repeat,3,T4_context,relational,P9_balance,cancelling,2,3,3,1,False
case_0566,636,R2,nested,5,T5_reference,elementwise,P3_required,noncancelling,2,10,0,1,False
case_0567,636,R2,nested,5,T5_reference,elementwise,P3_required,noncancelling,3,10,0,1,False
case_0568,636,R2,nested,5,T5_reference,elementwise,P3_required,noncancelling,4,5,0,1,False
case_0569,639,R1,nested,5,T8_interacting,relational,P8_composite,noncancelling,2,10,9,irreducible,True
case_0570,639,R1,nested,5,T8_interacting,relational,P8_composite,noncancelling,3,10,7,2,False
case_0571,639,R1,nested,5,T8_interacting,relational,P8_composite,noncancelling,4,5,2,2,False
case_0572,641,R3,nested,5,T2_dedup,relational,P4_provenance,noncancelling,2,10,6,irreducible,True
case_0573,641,R3,nested,5,T2_dedup,relational,P4_provenance,noncancelling,3,10,3,irreducible,True
case_0574,641,R3,nested,5,T2_dedup,relational,P4_provenance,noncancelling,4,5,0,1,False
case_0575,642,R2,random,5,T5_reference,elementwise,P7_contradiction,noncancelling,2,10,0,1,False
case_0576,642,R2,random,5,T5_reference,elementwise,P7_contradiction,noncancelling,3,10,0,1,False
case_0577,642,R2,random,5,T5_reference,elementwise,P7_contradiction,noncancelling,4,5,0,1,False
case_0578,643,R3,random,4,T3_normalize,elementwise,P8_composite,noncancelling,2,6,0,1,False
case_0579,643,R3,random,4,T3_normalize,elementwise,P8_composite,noncancelling,3,4,0,1,False
case_0580,645,R4,overlap,4,T8_interacting,relational,P1_result,noncancelling,2,6,5,irreducible,True
case_0581,645,R4,overlap,4,T8_interacting,relational,P1_result,noncancelling,3,4,2,2,False
case_0582,646,R3,alternating,4,T1_stopword,elementwise,P2_len,noncancelling,2,6,0,1,False
case_0583,646,R3,alternating,4,T1_stopword,elementwise,P2_len,noncancelling,3,4,0,1,False
case_0584,648,R2,alternating,6,T5_reference,elementwise,P8_composite,noncancelling,2,15,0,1,False
case_0585,648,R2,alternating,6,T5_reference,elementwise,P8_composite,noncancelling,3,20,0,1,False
case_0586,648,R2,alternating,6,T5_reference,elementwise,P8_composite,noncancelling,4,15,0,1,False
case_0587,648,R2,alternating,6,T5_reference,elementwise,P8_composite,noncancelling,5,6,0,1,False
case_0588,649,R3,alternating,5,T2_dedup,relational,P2_len,noncancelling,2,10,6,irreducible,True
case_0589,649,R3,alternating,5,T2_dedup,relational,P2_len,noncancelling,3,10,3,irreducible,True
case_0590,649,R3,alternating,5,T2_dedup,relational,P2_len,noncancelling,4,5,0,1,False
case_0591,650,R4,repeat,3,T2_dedup,relational,P2_len,noncancelling,2,3,3,1,False
case_0592,652,R3,random,4,T1_stopword,elementwise,P3_required,noncancelling,2,6,0,1,False
case_0593,652,R3,random,4,T1_stopword,elementwise,P3_required,noncancelling,3,4,0,1,False
case_0594,653,R4,overlap,4,T7_meta_destroying,elementwise,P5_uncertainty,noncancelling,2,6,0,1,False
case_0595,653,R4,overlap,4,T7_meta_destroying,elementwise,P5_uncertainty,noncancelling,3,4,0,1,False
case_0596,657,R2,nested,5,T8_interacting,relational,P3_required,noncancelling,2,10,9,irreducible,True
case_0597,657,R2,nested,5,T8_interacting,relational,P3_required,noncancelling,3,10,7,2,False
case_0598,657,R2,nested,5,T8_interacting,relational,P3_required,noncancelling,4,5,2,2,False
case_0599,658,R4,repeat,4,T8_interacting,relational,P9_balance,cancelling,2,6,4,irreducible,True
case_0600,658,R4,repeat,4,T8_interacting,relational,P9_balance,cancelling,3,4,2,irreducible,True
case_0601,659,R2,alternating,3,T2_dedup,relational,P8_composite,noncancelling,2,3,0,1,False
case_0602,661,R4,same_value_diff_source,3,T2_dedup,relational,P2_len,noncancelling,2,3,3,1,False
case_0603,662,R4,nested,5,T1_stopword,elementwise,P3_required,noncancelling,2,10,0,1,False
case_0604,662,R4,nested,5,T1_stopword,elementwise,P3_required,noncancelling,3,10,0,1,False
case_0605,662,R4,nested,5,T1_stopword,elementwise,P3_required,noncancelling,4,5,0,1,False
case_0606,665,R4,same_value_diff_source,3,T4_context,relational,P9_balance,cancelling,2,3,3,1,False
case_0607,666,R2,alternating,4,T2_dedup,relational,P1_result,noncancelling,2,6,3,irreducible,True
case_0608,666,R2,alternating,4,T2_dedup,relational,P1_result,noncancelling,3,4,0,1,False
case_0609,668,R2,overlap,4,T5_reference,elementwise,P6_scope,noncancelling,2,6,0,1,False
case_0610,668,R2,overlap,4,T5_reference,elementwise,P6_scope,noncancelling,3,4,0,1,False
case_0611,670,R3,repeat,4,T7_meta_destroying,elementwise,P7_contradiction,noncancelling,2,6,0,1,False
case_0612,670,R3,repeat,4,T7_meta_destroying,elementwise,P7_contradiction,noncancelling,3,4,0,1,False
case_0613,672,R2,repeat,3,T7_meta_destroying,elementwise,P2_len,noncancelling,2,3,0,1,False
case_0614,677,R4,random,6,T5_reference,elementwise,P9_balance,cancelling,2,15,5,irreducible,True
case_0615,677,R4,random,6,T5_reference,elementwise,P9_balance,cancelling,3,20,8,2,False
case_0616,677,R4,random,6,T5_reference,elementwise,P9_balance,cancelling,4,15,5,2,False
case_0617,677,R4,random,6,T5_reference,elementwise,P9_balance,cancelling,5,6,2,1,False
case_0618,680,R1,same_value_diff_source,3,T2_dedup,relational,P2_len,noncancelling,2,3,3,1,False
case_0619,682,R4,alternating,6,T2_dedup,relational,P4_provenance,noncancelling,2,15,10,1,False
case_0620,682,R4,alternating,6,T2_dedup,relational,P4_provenance,noncancelling,3,20,9,irreducible,True
case_0621,682,R4,alternating,6,T2_dedup,relational,P4_provenance,noncancelling,4,15,4,irreducible,True
case_0622,682,R4,alternating,6,T2_dedup,relational,P4_provenance,noncancelling,5,6,0,1,False
case_0623,686,R3,overlap,4,T6_meta_preserving,elementwise,P7_contradiction,noncancelling,2,6,0,1,False
case_0624,686,R3,overlap,4,T6_meta_preserving,elementwise,P7_contradiction,noncancelling,3,4,0,1,False
case_0625,687,R3,overlap,4,T2_dedup,relational,P9_balance,cancelling,2,6,6,1,False
case_0626,687,R3,overlap,4,T2_dedup,relational,P9_balance,cancelling,3,4,4,1,False
case_0627,690,R2,nested,5,T4_context,relational,P4_provenance,noncancelling,2,10,0,1,False
case_0628,690,R2,nested,5,T4_context,relational,P4_provenance,noncancelling,3,10,0,1,False
case_0629,690,R2,nested,5,T4_context,relational,P4_provenance,noncancelling,4,5,0,1,False
case_0630,697,R2,random,3,T3_normalize,elementwise,P6_scope,noncancelling,2,3,0,1,False
case_0631,699,R3,overlap,4,T8_interacting,relational,P5_uncertainty,noncancelling,2,6,5,irreducible,True
case_0632,699,R3,overlap,4,T8_interacting,relational,P5_uncertainty,noncancelling,3,4,2,2,False
case_0633,700,R3,random,5,T8_interacting,relational,P8_composite,noncancelling,2,10,1,1,False
case_0634,700,R3,random,5,T8_interacting,relational,P8_composite,noncancelling,3,10,0,1,False
case_0635,700,R3,random,5,T8_interacting,relational,P8_composite,noncancelling,4,5,0,1,False
case_0636,701,R2,random,3,T5_reference,elementwise,P1_result,noncancelling,2,3,0,1,False
case_0637,702,R2,overlap,4,T1_stopword,elementwise,P2_len,noncancelling,2,6,1,1,False
case_0638,702,R2,overlap,4,T1_stopword,elementwise,P2_len,noncancelling,3,4,0,1,False
case_0639,704,R1,random,5,T8_interacting,relational,P8_composite,noncancelling,2,10,1,1,False
case_0640,704,R1,random,5,T8_interacting,relational,P8_composite,noncancelling,3,10,0,1,False
case_0641,704,R1,random,5,T8_interacting,relational,P8_composite,noncancelling,4,5,0,1,False
case_0642,707,R4,alternating,6,T7_meta_destroying,elementwise,P6_scope,noncancelling,2,15,0,1,False
case_0643,707,R4,alternating,6,T7_meta_destroying,elementwise,P6_scope,noncancelling,3,20,0,1,False
case_0644,707,R4,alternating,6,T7_meta_destroying,elementwise,P6_scope,noncancelling,4,15,0,1,False
case_0645,707,R4,alternating,6,T7_meta_destroying,elementwise,P6_scope,noncancelling,5,6,0,1,False
case_0646,708,R3,repeat,3,T4_context,relational,P2_len,noncancelling,2,3,3,1,False
case_0647,710,R4,overlap,4,T3_normalize,elementwise,P3_required,noncancelling,2,6,0,1,False
case_0648,710,R4,overlap,4,T3_normalize,elementwise,P3_required,noncancelling,3,4,0,1,False
case_0649,713,R3,nested,5,T7_meta_destroying,elementwise,P6_scope,noncancelling,2,10,0,1,False
case_0650,713,R3,nested,5,T7_meta_destroying,elementwise,P6_scope,noncancelling,3,10,0,1,False
case_0651,713,R3,nested,5,T7_meta_destroying,elementwise,P6_scope,noncancelling,4,5,0,1,False
case_0652,715,R4,repeat,4,T8_interacting,relational,P6_scope,noncancelling,2,6,6,1,False
case_0653,715,R4,repeat,4,T8_interacting,relational,P6_scope,noncancelling,3,4,4,1,False
case_0654,717,R1,nested,5,T1_stopword,elementwise,P9_balance,cancelling,2,10,10,1,False
case_0655,717,R1,nested,5,T1_stopword,elementwise,P9_balance,cancelling,3,10,10,1,False
case_0656,717,R1,nested,5,T1_stopword,elementwise,P9_balance,cancelling,4,5,5,1,False
case_0657,719,R4,repeat,4,T8_interacting,relational,P5_uncertainty,noncancelling,2,6,3,1,False
case_0658,719,R4,repeat,4,T8_interacting,relational,P5_uncertainty,noncancelling,3,4,1,1,False
case_0659,722,R1,same_value_diff_source,3,T8_interacting,relational,P7_contradiction,noncancelling,2,3,3,1,False
case_0660,723,R2,nested,5,T6_meta_preserving,elementwise,P3_required,noncancelling,2,10,0,1,False
case_0661,723,R2,nested,5,T6_meta_preserving,elementwise,P3_required,noncancelling,3,10,0,1,False
case_0662,723,R2,nested,5,T6_meta_preserving,elementwise,P3_required,noncancelling,4,5,0,1,False
case_0663,724,R2,same_value_diff_source,3,T2_dedup,relational,P1_result,noncancelling,2,3,3,1,False
case_0664,725,R4,repeat,4,T3_normalize,elementwise,P7_contradiction,noncancelling,2,6,0,1,False
case_0665,725,R4,repeat,4,T3_normalize,elementwise,P7_contradiction,noncancelling,3,4,0,1,False
case_0666,729,R3,same_value_diff_source,3,T3_normalize,elementwise,P7_contradiction,noncancelling,2,3,0,1,False
case_0667,730,R2,nested,5,T7_meta_destroying,elementwise,P3_required,noncancelling,2,10,0,1,False
case_0668,730,R2,nested,5,T7_meta_destroying,elementwise,P3_required,noncancelling,3,10,0,1,False
case_0669,730,R2,nested,5,T7_meta_destroying,elementwise,P3_required,noncancelling,4,5,0,1,False
case_0670,733,R1,nested,5,T7_meta_destroying,elementwise,P7_contradiction,noncancelling,2,10,0,1,False
case_0671,733,R1,nested,5,T7_meta_destroying,elementwise,P7_contradiction,noncancelling,3,10,0,1,False
case_0672,733,R1,nested,5,T7_meta_destroying,elementwise,P7_contradiction,noncancelling,4,5,0,1,False
case_0673,734,R4,alternating,6,T7_meta_destroying,elementwise,P4_provenance,noncancelling,2,15,0,1,False
case_0674,734,R4,alternating,6,T7_meta_destroying,elementwise,P4_provenance,noncancelling,3,20,0,1,False
case_0675,734,R4,alternating,6,T7_meta_destroying,elementwise,P4_provenance,noncancelling,4,15,0,1,False
case_0676,734,R4,alternating,6,T7_meta_destroying,elementwise,P4_provenance,noncancelling,5,6,0,1,False
case_0677,735,R4,same_value_diff_source,3,T2_dedup,relational,P3_required,noncancelling,2,3,3,1,False
case_0678,736,R4,overlap,4,T4_context,relational,P8_composite,noncancelling,2,6,1,1,False
case_0679,736,R4,overlap,4,T4_context,relational,P8_composite,noncancelling,3,4,0,1,False
case_0680,737,R2,overlap,4,T2_dedup,relational,P1_result,noncancelling,2,6,4,irreducible,True
case_0681,737,R2,overlap,4,T2_dedup,relational,P1_result,noncancelling,3,4,0,1,False
case_0682,741,R2,nested,5,T4_context,relational,P7_contradiction,noncancelling,2,10,0,1,False
case_0683,741,R2,nested,5,T4_context,relational,P7_contradiction,noncancelling,3,10,0,1,False
case_0684,741,R2,nested,5,T4_context,relational,P7_contradiction,noncancelling,4,5,0,1,False
case_0685,743,R2,random,3,T5_reference,elementwise,P6_scope,noncancelling,2,3,0,1,False
case_0686,744,R4,overlap,4,T4_context,relational,P8_composite,noncancelling,2,6,1,1,False
case_0687,744,R4,overlap,4,T4_context,relational,P8_composite,noncancelling,3,4,0,1,False
case_0688,745,R3,repeat,4,T6_meta_preserving,elementwise,P3_required,noncancelling,2,6,0,1,False
case_0689,745,R3,repeat,4,T6_meta_preserving,elementwise,P3_required,noncancelling,3,4,0,1,False
case_0690,746,R4,nested,5,T1_stopword,elementwise,P6_scope,noncancelling,2,10,3,1,False
case_0691,746,R4,nested,5,T1_stopword,elementwise,P6_scope,noncancelling,3,10,1,1,False
case_0692,746,R4,nested,5,T1_stopword,elementwise,P6_scope,noncancelling,4,5,0,1,False
case_0693,747,R4,overlap,4,T1_stopword,elementwise,P7_contradiction,noncancelling,2,6,1,1,False
case_0694,747,R4,overlap,4,T1_stopword,elementwise,P7_contradiction,noncancelling,3,4,0,1,False
case_0695,752,R1,alternating,5,T1_stopword,elementwise,P7_contradiction,noncancelling,2,10,3,1,False
case_0696,752,R1,alternating,5,T1_stopword,elementwise,P7_contradiction,noncancelling,3,10,1,1,False
case_0697,752,R1,alternating,5,T1_stopword,elementwise,P7_contradiction,noncancelling,4,5,0,1,False
case_0698,754,R3,alternating,6,T4_context,relational,P9_balance,cancelling,2,15,15,1,False
case_0699,754,R3,alternating,6,T4_context,relational,P9_balance,cancelling,3,20,20,1,False
case_0700,754,R3,alternating,6,T4_context,relational,P9_balance,cancelling,4,15,15,1,False
case_0701,754,R3,alternating,6,T4_context,relational,P9_balance,cancelling,5,6,6,1,False
case_0702,755,R4,overlap,4,T2_dedup,relational,P9_balance,cancelling,2,6,2,irreducible,True
case_0703,755,R4,overlap,4,T2_dedup,relational,P9_balance,cancelling,3,4,1,1,False
case_0704,767,R4,same_value_diff_source,3,T2_dedup,relational,P2_len,noncancelling,2,3,3,1,False
case_0705,768,R3,nested,5,T6_meta_preserving,elementwise,P2_len,noncancelling,2,10,0,1,False
case_0706,768,R3,nested,5,T6_meta_preserving,elementwise,P2_len,noncancelling,3,10,0,1,False
case_0707,768,R3,nested,5,T6_meta_preserving,elementwise,P2_len,noncancelling,4,5,0,1,False
case_0708,770,R3,overlap,4,T7_meta_destroying,elementwise,P4_provenance,noncancelling,2,6,0,1,False
case_0709,770,R3,overlap,4,T7_meta_destroying,elementwise,P4_provenance,noncancelling,3,4,0,1,False
case_0710,771,R4,alternating,4,T1_stopword,elementwise,P5_uncertainty,noncancelling,2,6,0,1,False
case_0711,771,R4,alternating,4,T1_stopword,elementwise,P5_uncertainty,noncancelling,3,4,0,1,False
case_0712,772,R1,alternating,3,T4_context,relational,P2_len,noncancelling,2,3,0,1,False
case_0713,773,R1,random,4,T3_normalize,elementwise,P9_balance,cancelling,2,6,6,1,False
case_0714,773,R1,random,4,T3_normalize,elementwise,P9_balance,cancelling,3,4,4,1,False
case_0715,777,R3,same_value_diff_source,3,T4_context,relational,P5_uncertainty,noncancelling,2,3,3,1,False
case_0716,779,R1,nested,5,T3_normalize,elementwise,P3_required,noncancelling,2,10,0,1,False
case_0717,779,R1,nested,5,T3_normalize,elementwise,P3_required,noncancelling,3,10,0,1,False
case_0718,779,R1,nested,5,T3_normalize,elementwise,P3_required,noncancelling,4,5,0,1,False
case_0719,781,R1,alternating,4,T3_normalize,elementwise,P5_uncertainty,noncancelling,2,6,0,1,False
case_0720,781,R1,alternating,4,T3_normalize,elementwise,P5_uncertainty,noncancelling,3,4,0,1,False
case_0721,782,R1,same_value_diff_source,3,T7_meta_destroying,elementwise,P3_required,noncancelling,2,3,0,1,False
case_0722,784,R4,repeat,4,T6_meta_preserving,elementwise,P8_composite,noncancelling,2,6,0,1,False
case_0723,784,R4,repeat,4,T6_meta_preserving,elementwise,P8_composite,noncancelling,3,4,0,1,False
case_0724,786,R3,random,6,T2_dedup,relational,P5_uncertainty,noncancelling,2,15,1,1,False
case_0725,786,R3,random,6,T2_dedup,relational,P5_uncertainty,noncancelling,3,20,0,1,False
case_0726,786,R3,random,6,T2_dedup,relational,P5_uncertainty,noncancelling,4,15,0,1,False
case_0727,786,R3,random,6,T2_dedup,relational,P5_uncertainty,noncancelling,5,6,0,1,False
case_0728,789,R1,alternating,6,T4_context,relational,P2_len,noncancelling,2,15,0,1,False
case_0729,789,R1,alternating,6,T4_context,relational,P2_len,noncancelling,3,20,0,1,False
case_0730,789,R1,alternating,6,T4_context,relational,P2_len,noncancelling,4,15,0,1,False
case_0731,789,R1,alternating,6,T4_context,relational,P2_len,noncancelling,5,6,0,1,False
case_0732,791,R1,repeat,4,T8_interacting,relational,P4_provenance,noncancelling,2,6,6,1,False
case_0733,791,R1,repeat,4,T8_interacting,relational,P4_provenance,noncancelling,3,4,4,1,False
case_0734,792,R3,same_value_diff_source,3,T7_meta_destroying,elementwise,P6_scope,noncancelling,2,3,0,1,False
case_0735,793,R3,nested,5,T1_stopword,elementwise,P3_required,noncancelling,2,10,3,1,False
case_0736,793,R3,nested,5,T1_stopword,elementwise,P3_required,noncancelling,3,10,1,1,False
case_0737,793,R3,nested,5,T1_stopword,elementwise,P3_required,noncancelling,4,5,0,1,False
case_0738,794,R1,overlap,4,T4_context,relational,P3_required,noncancelling,2,6,4,irreducible,True
case_0739,794,R1,overlap,4,T4_context,relational,P3_required,noncancelling,3,4,0,1,False
case_0740,795,R1,alternating,6,T8_interacting,relational,P3_required,noncancelling,2,15,11,irreducible,True
case_0741,795,R1,alternating,6,T8_interacting,relational,P3_required,noncancelling,3,20,12,irreducible,True
case_0742,795,R1,alternating,6,T8_interacting,relational,P3_required,noncancelling,4,15,6,irreducible,True
case_0743,795,R1,alternating,6,T8_interacting,relational,P3_required,noncancelling,5,6,0,1,False
case_0744,796,R1,overlap,4,T8_interacting,relational,P8_composite,noncancelling,2,6,5,irreducible,True
case_0745,796,R1,overlap,4,T8_interacting,relational,P8_composite,noncancelling,3,4,2,2,False
case_0746,798,R3,repeat,3,T1_stopword,elementwise,P8_composite,noncancelling,2,3,0,1,False
case_0747,799,R1,overlap,4,T6_meta_preserving,elementwise,P1_result,noncancelling,2,6,0,1,False
case_0748,799,R1,overlap,4,T6_meta_preserving,elementwise,P1_result,noncancelling,3,4,0,1,False
case_0749,800,R2,random,4,T3_normalize,elementwise,P3_required,noncancelling,2,6,0,1,False
case_0750,800,R2,random,4,T3_normalize,elementwise,P3_required,noncancelling,3,4,0,1,False
case_0751,803,R4,random,6,T4_context,relational,P1_result,noncancelling,2,15,4,irreducible,True
case_0752,803,R4,random,6,T4_context,relational,P1_result,noncancelling,3,20,0,1,False
case_0753,803,R4,random,6,T4_context,relational,P1_result,noncancelling,4,15,0,1,False
case_0754,803,R4,random,6,T4_context,relational,P1_result,noncancelling,5,6,0,1,False
case_0755,805,R3,overlap,4,T4_context,relational,P5_uncertainty,noncancelling,2,6,4,irreducible,True
case_0756,805,R3,overlap,4,T4_context,relational,P5_uncertainty,noncancelling,3,4,0,1,False
case_0757,806,R3,random,5,T7_meta_destroying,elementwise,P1_result,noncancelling,2,10,0,1,False
case_0758,806,R3,random,5,T7_meta_destroying,elementwise,P1_result,noncancelling,3,10,0,1,False
case_0759,806,R3,random,5,T7_meta_destroying,elementwise,P1_result,noncancelling,4,5,0,1,False
case_0760,808,R1,overlap,4,T6_meta_preserving,elementwise,P7_contradiction,noncancelling,2,6,0,1,False
case_0761,808,R1,overlap,4,T6_meta_preserving,elementwise,P7_contradiction,noncancelling,3,4,0,1,False
case_0762,810,R4,same_value_diff_source,3,T6_meta_preserving,elementwise,P9_balance,cancelling,2,3,0,1,False
case_0763,813,R3,repeat,4,T2_dedup,relational,P1_result,noncancelling,2,6,6,1,False
case_0764,813,R3,repeat,4,T2_dedup,relational,P1_result,noncancelling,3,4,4,1,False
case_0765,814,R1,repeat,4,T2_dedup,relational,P1_result,noncancelling,2,6,6,1,False
case_0766,814,R1,repeat,4,T2_dedup,relational,P1_result,noncancelling,3,4,4,1,False
case_0767,815,R1,nested,5,T3_normalize,elementwise,P3_required,noncancelling,2,10,0,1,False
case_0768,815,R1,nested,5,T3_normalize,elementwise,P3_required,noncancelling,3,10,0,1,False
case_0769,815,R1,nested,5,T3_normalize,elementwise,P3_required,noncancelling,4,5,0,1,False
case_0770,816,R4,overlap,4,T4_context,relational,P4_provenance,noncancelling,2,6,2,irreducible,True
case_0771,816,R4,overlap,4,T4_context,relational,P4_provenance,noncancelling,3,4,0,1,False
case_0772,818,R3,same_value_diff_source,3,T7_meta_destroying,elementwise,P5_uncertainty,noncancelling,2,3,0,1,False
case_0773,823,R4,same_value_diff_source,3,T6_meta_preserving,elementwise,P9_balance,cancelling,2,3,0,1,False
case_0774,826,R2,alternating,3,T1_stopword,elementwise,P8_composite,noncancelling,2,3,0,1,False
case_0775,827,R1,repeat,4,T1_stopword,elementwise,P1_result,noncancelling,2,6,6,1,False
case_0776,827,R1,repeat,4,T1_stopword,elementwise,P1_result,noncancelling,3,4,4,1,False
case_0777,828,R4,overlap,4,T4_context,relational,P9_balance,cancelling,2,6,2,irreducible,True
case_0778,828,R4,overlap,4,T4_context,relational,P9_balance,cancelling,3,4,1,1,False
case_0779,829,R2,same_value_diff_source,3,T5_reference,elementwise,P2_len,noncancelling,2,3,3,1,False
case_0780,832,R4,same_value_diff_source,3,T2_dedup,relational,P1_result,noncancelling,2,3,3,1,False
case_0781,835,R3,random,5,T5_reference,elementwise,P3_required,noncancelling,2,10,0,1,False
case_0782,835,R3,random,5,T5_reference,elementwise,P3_required,noncancelling,3,10,0,1,False
case_0783,835,R3,random,5,T5_reference,elementwise,P3_required,noncancelling,4,5,0,1,False
case_0784,842,R4,overlap,4,T1_stopword,elementwise,P4_provenance,noncancelling,2,6,1,1,False
case_0785,842,R4,overlap,4,T1_stopword,elementwise,P4_provenance,noncancelling,3,4,0,1,False
case_0786,843,R2,nested,5,T2_dedup,relational,P3_required,noncancelling,2,10,6,irreducible,True
case_0787,843,R2,nested,5,T2_dedup,relational,P3_required,noncancelling,3,10,3,irreducible,True
case_0788,843,R2,nested,5,T2_dedup,relational,P3_required,noncancelling,4,5,0,1,False
case_0789,846,R3,same_value_diff_source,3,T7_meta_destroying,elementwise,P8_composite,noncancelling,2,3,0,1,False
case_0790,848,R2,overlap,4,T5_reference,elementwise,P5_uncertainty,noncancelling,2,6,0,1,False
case_0791,848,R2,overlap,4,T5_reference,elementwise,P5_uncertainty,noncancelling,3,4,0,1,False
case_0792,850,R2,repeat,4,T6_meta_preserving,elementwise,P7_contradiction,noncancelling,2,6,0,1,False
case_0793,850,R2,repeat,4,T6_meta_preserving,elementwise,P7_contradiction,noncancelling,3,4,0,1,False
case_0794,853,R4,same_value_diff_source,3,T2_dedup,relational,P2_len,noncancelling,2,3,3,1,False
case_0795,856,R1,overlap,4,T7_meta_destroying,elementwise,P7_contradiction,noncancelling,2,6,0,1,False
case_0796,856,R1,overlap,4,T7_meta_destroying,elementwise,P7_contradiction,noncancelling,3,4,0,1,False
case_0797,858,R3,alternating,5,T5_reference,elementwise,P2_len,noncancelling,2,10,0,1,False
case_0798,858,R3,alternating,5,T5_reference,elementwise,P2_len,noncancelling,3,10,0,1,False
case_0799,858,R3,alternating,5,T5_reference,elementwise,P2_len,noncancelling,4,5,0,1,False
case_0800,860,R4,same_value_diff_source,3,T5_reference,elementwise,P9_balance,cancelling,2,3,0,1,False
case_0801,861,R3,random,6,T6_meta_preserving,elementwise,P9_balance,cancelling,2,15,15,1,False
case_0802,861,R3,random,6,T6_meta_preserving,elementwise,P9_balance,cancelling,3,20,20,1,False
case_0803,861,R3,random,6,T6_meta_preserving,elementwise,P9_balance,cancelling,4,15,15,1,False
case_0804,861,R3,random,6,T6_meta_preserving,elementwise,P9_balance,cancelling,5,6,6,1,False
case_0805,863,R4,alternating,4,T2_dedup,relational,P7_contradiction,noncancelling,2,6,2,irreducible,True
case_0806,863,R4,alternating,4,T2_dedup,relational,P7_contradiction,noncancelling,3,4,0,1,False
case_0807,864,R4,random,3,T6_meta_preserving,elementwise,P4_provenance,noncancelling,2,3,0,1,False
case_0808,866,R2,nested,5,T4_context,relational,P8_composite,noncancelling,2,10,0,1,False
case_0809,866,R2,nested,5,T4_context,relational,P8_composite,noncancelling,3,10,0,1,False
case_0810,866,R2,nested,5,T4_context,relational,P8_composite,noncancelling,4,5,0,1,False
case_0811,867,R3,alternating,6,T4_context,relational,P2_len,noncancelling,2,15,0,1,False
case_0812,867,R3,alternating,6,T4_context,relational,P2_len,noncancelling,3,20,0,1,False
case_0813,867,R3,alternating,6,T4_context,relational,P2_len,noncancelling,4,15,0,1,False
case_0814,867,R3,alternating,6,T4_context,relational,P2_len,noncancelling,5,6,0,1,False
case_0815,871,R3,same_value_diff_source,3,T4_context,relational,P5_uncertainty,noncancelling,2,3,3,1,False
case_0816,872,R1,nested,5,T7_meta_destroying,elementwise,P8_composite,noncancelling,2,10,0,1,False
case_0817,872,R1,nested,5,T7_meta_destroying,elementwise,P8_composite,noncancelling,3,10,0,1,False
case_0818,872,R1,nested,5,T7_meta_destroying,elementwise,P8_composite,noncancelling,4,5,0,1,False
case_0819,873,R3,overlap,4,T7_meta_destroying,elementwise,P3_required,noncancelling,2,6,0,1,False
case_0820,873,R3,overlap,4,T7_meta_destroying,elementwise,P3_required,noncancelling,3,4,0,1,False
case_0821,874,R4,overlap,4,T4_context,relational,P3_required,noncancelling,2,6,4,irreducible,True
case_0822,874,R4,overlap,4,T4_context,relational,P3_required,noncancelling,3,4,0,1,False
case_0823,881,R4,overlap,4,T7_meta_destroying,elementwise,P1_result,noncancelling,2,6,0,1,False
case_0824,881,R4,overlap,4,T7_meta_destroying,elementwise,P1_result,noncancelling,3,4,0,1,False
case_0825,882,R1,same_value_diff_source,3,T8_interacting,relational,P9_balance,cancelling,2,3,3,1,False
case_0826,885,R3,overlap,4,T7_meta_destroying,elementwise,P4_provenance,noncancelling,2,6,0,1,False
case_0827,885,R3,overlap,4,T7_meta_destroying,elementwise,P4_provenance,noncancelling,3,4,0,1,False
case_0828,886,R4,alternating,5,T2_dedup,relational,P3_required,noncancelling,2,10,6,irreducible,True
case_0829,886,R4,alternating,5,T2_dedup,relational,P3_required,noncancelling,3,10,3,irreducible,True
case_0830,886,R4,alternating,5,T2_dedup,relational,P3_required,noncancelling,4,5,0,1,False
case_0831,888,R3,random,4,T4_context,relational,P4_provenance,noncancelling,2,6,0,1,False
case_0832,888,R3,random,4,T4_context,relational,P4_provenance,noncancelling,3,4,0,1,False
case_0833,890,R4,repeat,4,T6_meta_preserving,elementwise,P7_contradiction,noncancelling,2,6,0,1,False
case_0834,890,R4,repeat,4,T6_meta_preserving,elementwise,P7_contradiction,noncancelling,3,4,0,1,False
case_0835,891,R3,same_value_diff_source,3,T3_normalize,elementwise,P5_uncertainty,noncancelling,2,3,0,1,False
case_0836,892,R4,repeat,3,T7_meta_destroying,elementwise,P6_scope,noncancelling,2,3,0,1,False
case_0837,893,R4,repeat,4,T6_meta_preserving,elementwise,P3_required,noncancelling,2,6,0,1,False
case_0838,893,R4,repeat,4,T6_meta_preserving,elementwise,P3_required,noncancelling,3,4,0,1,False
